Adj	Ppos	Pneg	Pneut	Likes	Highest
1	2	0.431750342307	0.568249657693	0.869798696627	16	0
2	1	0.414533782332	0.585466217668	0.776540036727	17	0
3	1	0.446520024747	0.553479975253	0.781190316059	11	0
4	1	0.545758633431	0.454241366569	0.595089061404	14	0
5	1	0.533816108675	0.466183891325	0.780191876001	0	0
6	2	0.490448001093	0.509551998907	0.595089061404	1	0
7	1	0.521589152085	0.478410847915	0.723616332983	6	0
8	1	0.402059045943	0.597940954057	0.455081664222	4	-1
9	1	0.524216613713	0.475783386287	0.595089061404	1	0
10	1	0.288547293536	0.711452706464	0.700378755743	16	-1
11	2	0.647305829932	0.352694170068	0.542083450543	26	1
12	1	0.490448001093	0.509551998907	0.595089061404	7	0
13	3	0.607310494484	0.392689505516	0.0528681846673	5	1
14	1	0.376996697146	0.623003302854	0.55841556468	10	-1
15	2	0.473343819239	0.526656180761	0.350874381455	19	-1
16	2	0.644612773054	0.355387226946	0.368165029017	19	1
17	2	0.687443529357	0.312556470643	0.166111483796	9	1
18	2	0.390172809051	0.609827190949	0.0188056087298	0	-1
19	2	0.674992390334	0.325007609666	0.542358503783	36	1
20	2	0.674992390334	0.325007609666	0.542358503783	37	1
21	1	0.829968033454	0.170031966546	0.409066705326	4	1
22	1	0.490448001093	0.509551998907	0.717038170154	0	0
23	2	0.510437481259	0.489562518741	0.359811619424	1	1
24	3	0.889249377265	0.110750622735	0.137332050837	2	1
25	5	0.746027306983	0.253972693017	0.201619462575	4	1
26	1	0.587630289064	0.412369710936	0.568448911409	0	1
27	1	0.534757831653	0.465242168347	0.522593536931	0	1
28	1	0.517313635252	0.482686364748	0.348081138093	4	1
29	1	0.451231296038	0.548768703962	0.73262915743	0	0
30	1	0.534142558963	0.465857441037	0.521768148615	1	1
31	1	0.490448001093	0.509551998907	0.595089061404	3	0
32	1	0.714560301672	0.285439698328	0.660152179011	6	1
33	1	0.507076963054	0.492923036946	0.49242792897	2	1
34	3	0.693510101279	0.306489898721	0.0392287564944	20	1
35	1	0.490448001093	0.509551998907	0.595089061404	6	0
36	3	0.566623520604	0.433376479396	0.317690711677	6	1
37	3	0.566623520604	0.433376479396	0.317690711677	5	1
38	1				3	0
39	1	0.502769914222	0.497230085778	0.6469996396	14	0
40	1	0.436800217046	0.563199782954	0.363412667322	25	-1
41	2	0.436988530418	0.563011469582	0.435194931003	2	-1
42	3	0.537661120677	0.462338879323	0.733438710903	4	0
43	2	0.628853755264	0.371146244736	0.206640009127	11	1
44	1	0.443315410043	0.556684589957	0.577784055801	5	0
45	1	0.403566532018	0.596433467982	0.689003929492	11	0
46	3	0.553917171047	0.446082828953	0.190657455438	17	1
47	1	0.530587266484	0.469412733516	0.946510540649	9	0
48	2	0.792133700807	0.207866299193	0.135622384874	3	1
49	1	0.437502604637	0.562497395363	0.723616332983	6	0
50	1	0.627674208639	0.372325791361	0.612980779649	12	1
51	3	0.71617450714	0.28382549286	0.523482717952	12	1
52	2	0.472196391007	0.527803608993	0.887472516114	15	0
53	1	0.453530659591	0.546469340409	0.782473030934	3	0
54	1	0.771452432768	0.228547567232	0.76543746764	6	1
